rc	context	simul	
http://dbpedia.org/resource/Alpha_Nu_Omega	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Eagle	
http://dbpedia.org/resource/Alpha_Phi_Delta	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Fasces	
http://dbpedia.org/resource/Chi_Iota_Pi	http://dbpedia.org/resource/Fraternities_and_sororities	Puma and Heart	
http://dbpedia.org/resource/Ra	Egyptian	Sun disk	
http://dbpedia.org/resource/Radha	Hindu	Golden Lotus	
http://dbpedia.org/resource/Moirai	greek	Thread, dove, spindle, scissors	
http://dbpedia.org/resource/Dionysus	Greek	Thyrsus, grapevine, bull, panther, ivy, goat, masks, chalice	
http://dbpedia.org/resource/Hadad	Mesopotamian	Thunderbolt, Bull, Lion	
http://dbpedia.org/resource/Hapi_(Nile_god)	Egyptian	Lotus plant	
http://dbpedia.org/resource/Hebe_(mythology)	Greek	Wine-cup, Eagle, Ivy, Fountain of Youth, and Wings	
http://dbpedia.org/resource/Hecate	Greek	Paired torches, dogs, red mullet, serpents, keys, polecats, daggers, and Hecate's wheel	
http://dbpedia.org/resource/Helios	Greek	chariot, horses, aureole	
http://dbpedia.org/resource/Triple_Goddess_(Neopaganism)	Neopagan	"* Crescent, full, and dark moon 
* Crescent, half, and full moon 
* Waxing, full, and waning moons"	
http://dbpedia.org/resource/Hera	Greek	Pomegranate, peacock feather, diadem, cow, lily, lotus, cuckoo, panther, scepter, throne, lion	
http://dbpedia.org/resource/Heracles	Greek	http://dbpedia.org/resource/Nemean_lion	
http://dbpedia.org/resource/Heracles	Greek	http://dbpedia.org/resource/Club_(weapon)	
http://dbpedia.org/resource/Hermes	Greek	Talaria, caduceus, tortoise, lyre, rooster, Petasos	
http://dbpedia.org/resource/Hestia	Greek	The hearth and its fire	
http://dbpedia.org/resource/Hymen_(god)	Greek	Bridal torch	
http://dbpedia.org/resource/Hypnos	Greek	Poppy, River Lethe, Cottonwood	
http://dbpedia.org/resource/Iris_(mythology)	Greek	Rainbow, caduceus, pitcher	
http://dbpedia.org/resource/Ajitanatha	Jain	http://dbpedia.org/resource/Elephant	
http://dbpedia.org/resource/Al-Lat	Arabian	Lion, gazelle, crescent, cubic rock	
http://dbpedia.org/resource/Gamma_Phi_Delta_(fraternity)	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Lion	
http://dbpedia.org/resource/Gamma_Phi_Delta_(fraternity)	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Phi	
http://dbpedia.org/resource/Gamma_Phi_Delta_(fraternity)	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Cross	
http://dbpedia.org/resource/Beta_Chi_Theta	http://dbpedia.org/resource/Fraternities_and_sororities	Rampant Lion	
http://dbpedia.org/resource/Kappa_Psi_Kappa	http://dbpedia.org/resource/Fraternities_and_sororities	Cane	
http://dbpedia.org/resource/Lambda_Sigma_Upsilon	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/Taíno	
http://dbpedia.org/resource/Lambda_Upsilon_Lambda	http://dbpedia.org/resource/Fraternities_and_sororities	http://dbpedia.org/resource/File:Lul_symbol_official_web.png	
http://dbpedia.org/resource/Pi_Kappa_Delta	http://dbpedia.org/resource/Fraternities_and_sororities	Unknown	
http://dbpedia.org/resource/Theta_Delta_Sigma	http://dbpedia.org/resource/Fraternities_and_sororities	Paw Print	
http://dbpedia.org/resource/Delta_Epsilon_Psi	http://dbpedia.org/resource/Fraternity	The Asiatic lion	
http://dbpedia.org/resource/Alpha_Sigma_Nu	http://dbpedia.org/resource/Honor_society	The key of the society bears the three Greek letters  together with the eye of wisdom.	
http://dbpedia.org/resource/Alpha_Epsilon	Honor	Horn of Plenty, Plow, T-square and Compass	
http://dbpedia.org/resource/Kappa_Tau_Alpha	http://dbpedia.org/resource/Honor_society	Key with quill pen	
http://dbpedia.org/resource/Omicron_Delta_Kappa	http://dbpedia.org/resource/Honor_society	A Laurel with Stars	
http://dbpedia.org/resource/Sigma_Tau	http://dbpedia.org/resource/Honor_society	Pyramid, Rail Section	
http://dbpedia.org/resource/Tau_Sigma_Delta	http://dbpedia.org/resource/Honor_society	Drafting Triangle	
http://dbpedia.org/resource/Eta_Kappa_Nu	http://dbpedia.org/resource/Honor_society	118	
http://dbpedia.org/resource/National_Residence_Hall_Honorary	http://dbpedia.org/resource/Honor_society	http://dbpedia.org/resource/Diamond	
http://dbpedia.org/resource/Phi_Theta_Kappa	http://dbpedia.org/resource/Honor_society	Golden Key, Athena, Oak Leaves, Laurel Leaves	
http://dbpedia.org/resource/SEPTA_Routes_101_and_102	http://dbpedia.org/resource/Light_rail	septa	
http://dbpedia.org/resource/Delta_Chi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	The Knight, Martlets	
http://dbpedia.org/resource/Delta_Sigma_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Sphinx	
http://dbpedia.org/resource/Psi_Sigma_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Almighty Knight	
http://dbpedia.org/resource/Alpha_Beta_Psi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Sword in Stone	
http://dbpedia.org/resource/Alpha_Chi_Rho	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	The Labarum	
http://dbpedia.org/resource/Alpha_Delta_(national)	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Sequoiadendron_giganteum	
http://dbpedia.org/resource/Alpha_Delta_(national)	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Great_horned_owl	
http://dbpedia.org/resource/Alpha_Kappa_Alpha	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Hedera	
http://dbpedia.org/resource/Alpha_Phi_Alpha	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Great_Sphinx_of_Giza	
http://dbpedia.org/resource/Alpha_Psi_Lambda	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Arecaceae	
http://dbpedia.org/resource/Alpha_Sigma_Kappa	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Infinity_symbol	
http://dbpedia.org/resource/Nu_Alpha_Kappa	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Xinako Man center|150px|The official symbol of Nu Alpha Kappa Fraternity, Inc.	
http://dbpedia.org/resource/Beta_Theta_Pi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Rhombus	
http://dbpedia.org/resource/Beta_Theta_Pi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Dragon	
http://dbpedia.org/resource/Beta_Theta_Pi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Star_polygon	
http://dbpedia.org/resource/Kappa_Alpha_Psi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Diamond	
http://dbpedia.org/resource/Kappa_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Star and Crescent	
http://dbpedia.org/resource/Kappa_Theta_Epsilon	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Swan	
http://dbpedia.org/resource/Zeta_Phi_Beta	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Columbidae	
http://dbpedia.org/resource/Iota_Phi_Theta	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Centaur	
http://dbpedia.org/resource/Omega_Delta_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Silver Knight	
http://dbpedia.org/resource/Omega_Phi_Chi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Heart	
http://dbpedia.org/resource/Omega_Psi_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Oil_lamp	
http://dbpedia.org/resource/Adelante_Fraternity	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Sword, Book, Shaking Hands, Shield and a Crown	
http://dbpedia.org/resource/Chandraprabha	Jain	http://dbpedia.org/resource/Crescent	
http://dbpedia.org/resource/Chandraprabha	Jain	http://dbpedia.org/resource/Moon	
http://dbpedia.org/resource/Chi_Delta_Theta	Cultural	http://dbpedia.org/resource/Hand_fan	
http://dbpedia.org/resource/Triangle_Fraternity	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Engineers' transit	
http://dbpedia.org/resource/Commons_club	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Triangle, Star & Torches	
http://dbpedia.org/resource/Lambda_Chi_Alpha	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Cross and Crescent	
http://dbpedia.org/resource/Lambda_Sigma_Upsilon	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Taíno	
http://dbpedia.org/resource/Lambda_Tau_Omega	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Enchanting Mermaid	
http://dbpedia.org/resource/Flag_of_Europe	International	"*Council flag representing the Council of Europe 
*Union flag representing the EU"	
http://dbpedia.org/resource/Sigma_Alpha_Epsilon	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Lion	
http://dbpedia.org/resource/Sigma_Alpha_Epsilon_Pi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Paw	
http://dbpedia.org/resource/Sigma_Alpha_Rho	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Snake with a Gleaming Eye	
http://dbpedia.org/resource/Sigma_Chi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	The White Cross	
http://dbpedia.org/resource/Sigma_Iota_Alpha	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Unicorn and Pegasus	
http://dbpedia.org/resource/Flag_of_the_Philippines	War Flag	http://dbpedia.org/resource/File:IFIS_Alternate.svg	
http://dbpedia.org/resource/Flag_of_the_Philippines	State of War Flag	http://dbpedia.org/resource/File:IFIS_Alternate.svg	
http://dbpedia.org/resource/Flag_of_the_Philippines	War Flag	http://dbpedia.org/resource/File:IFIS_Normal.svg	
http://dbpedia.org/resource/Flag_of_the_Philippines	State of War Flag	http://dbpedia.org/resource/File:IFIS_Normal.svg	
http://dbpedia.org/resource/Sigma_Lambda_Gamma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Purple Panther	
http://dbpedia.org/resource/Sigma_Phi_Delta	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Castle	
http://dbpedia.org/resource/Sigma_Phi_Rho	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Sheep	
http://dbpedia.org/resource/Sigma_Pi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Owl	
http://dbpedia.org/resource/Amun	Egyptian	two vertical plumes, the ram-headed Sphinx	
http://dbpedia.org/resource/Ananke	Greek	torch, spindle	
http://dbpedia.org/resource/Ningishzida	Mesopotamian	http://dbpedia.org/resource/Snake	
http://dbpedia.org/resource/Ninhursag	Mesopotamian	Omega-like symbol	
http://dbpedia.org/resource/Ninurta	Mesopotamian	Plow and perched bird	
http://dbpedia.org/resource/Nisaba	Mesopotamian	Stalk of wheat, gold stylus, starry tablet	
http://dbpedia.org/resource/Tau_Delta_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Pyramid	
http://dbpedia.org/resource/Nuapada_(Odisha_Vidhan_Sabha_constituency)	http://dbpedia.org/resource/Odisha_Legislative_Assembly	Cunch	
http://dbpedia.org/resource/Nut_(goddess)	Egyptian	http://dbpedia.org/resource/Sky	
http://dbpedia.org/resource/Nut_(goddess)	Egyptian	http://dbpedia.org/resource/Cattle	
http://dbpedia.org/resource/Nut_(goddess)	Egyptian	http://dbpedia.org/resource/Star	
http://dbpedia.org/resource/Dike_(mythology)	Greek	Scales/ Balance	
http://dbpedia.org/resource/Fortuna	Roman	http://dbpedia.org/resource/Cornucopia	
http://dbpedia.org/resource/Fortuna	Roman	http://dbpedia.org/resource/Wheel	
http://dbpedia.org/resource/Fortuna	Roman	http://dbpedia.org/resource/Globe	
http://dbpedia.org/resource/Fortuna	Roman	http://dbpedia.org/resource/Wreath	
http://dbpedia.org/resource/Tau_Gamma_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	"""Triskelion Hymn"""	
http://dbpedia.org/resource/Min_(god)	Egyptian	the lettuce, the phallus, the bull	
http://dbpedia.org/resource/Mut	Egyptian	the Vulture	
http://dbpedia.org/resource/Nabu	Mesopotamian	Clay tablet and stylus	
http://dbpedia.org/resource/Neela_(goddess)	Hindu	http://dbpedia.org/resource/Sapphire	
http://dbpedia.org/resource/Nephthys	Egyptian	The sacred temple enclosure	
http://dbpedia.org/resource/Rhea_(mythology)	Greek	Chariot, tambourine, crown, cornucopia	
http://dbpedia.org/resource/Tau_Gamma_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Triskelion ,	
http://dbpedia.org/resource/Wadd	Arabian	Snakes, crescent with the small disk of Venus	
http://dbpedia.org/resource/Baal	Canaanite	http://dbpedia.org/resource/Bull	
http://dbpedia.org/resource/Baal	Canaanite	http://dbpedia.org/resource/Sheep	
http://dbpedia.org/resource/Tau_Gamma_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Anthony_the_Great	
http://dbpedia.org/resource/Bastet	Egyptian	lioness, cat, ointment jar, sistrum, solar disk	
http://dbpedia.org/resource/Erlik	http://dbpedia.org/resource/Mongolian	http://dbpedia.org/resource/Monster	
http://dbpedia.org/resource/Erlik	http://dbpedia.org/resource/Turkic	http://dbpedia.org/resource/Monster	
http://dbpedia.org/resource/Tau_Gamma_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	"""Triskelion Hymn"""	
http://dbpedia.org/resource/Kebechet	Egyptian	http://dbpedia.org/resource/Serpent_(symbolism)	
http://dbpedia.org/resource/Acintya	Hindu	empty throne	
http://dbpedia.org/resource/Anat	Canaanite	http://dbpedia.org/resource/Atef	
http://dbpedia.org/resource/Tau_Gamma_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Lady Triskelion ,	
http://dbpedia.org/resource/Tau_Gamma_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Lioness ,	
http://dbpedia.org/resource/FarmHouse	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Sickle and Sheaf	
http://dbpedia.org/resource/Phi_Beta_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Crescent	
http://dbpedia.org/resource/Phi_Delta_Psi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Blazing Torch	
http://dbpedia.org/resource/Phi_Iota_Alpha	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Lion	
http://dbpedia.org/resource/Phi_Kappa_(secondary)	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Scimitar	
http://dbpedia.org/resource/Phi_Kappa_Sigma	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Maltese_cross	
http://dbpedia.org/resource/Phi_Rho_Eta	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Phoenix_(mythology)	
http://dbpedia.org/resource/Phi_Sigma_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Phoenix_(mythology)	
http://dbpedia.org/resource/Pi_Alpha_Phi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Brotherhood Links	
http://dbpedia.org/resource/Theta_Kappa_Omega	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	Gryphon	
http://dbpedia.org/resource/Theta_Nu_Xi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Butterfly	
http://dbpedia.org/resource/Gayatri	Hindu	http://dbpedia.org/resource/Vedas	
http://dbpedia.org/resource/Geb	Egyptian	barley, goose, bull, viper	
http://dbpedia.org/resource/Gilgamesh	Mesopotamian	http://dbpedia.org/resource/Lion	
http://dbpedia.org/resource/Gilgamesh	Mesopotamian	http://dbpedia.org/resource/Bull	
http://dbpedia.org/resource/Bes	Egyptian	Ostrich feather	
http://dbpedia.org/resource/Theta_Xi	http://dbpedia.org/resource/List_of_social_fraternities_and_sororities	http://dbpedia.org/resource/Unicorn	
http://dbpedia.org/resource/Second_Occupation_of_Cuba	http://dbpedia.org/resource/Military_occupation	Great Seal of the United States	
http://dbpedia.org/resource/2N7000	http://dbpedia.org/resource/MOSFET	80	
http://dbpedia.org/resource/Diken_(newspaper)	http://dbpedia.org/resource/Online_newspaper	180	
http://dbpedia.org/resource/Johnson_University	http://dbpedia.org/resource/Private_university	Lion/Sun	
http://dbpedia.org/resource/Delta_Tau_Lambda	http://dbpedia.org/resource/Professional_fraternities_and_sororities	African Lion	
http://dbpedia.org/resource/Alpha_Gamma_Kappa	http://dbpedia.org/resource/Professional_fraternities_and_sororities	http://dbpedia.org/resource/Skull_and_crossbones_(fraternities_and_sports)	
http://dbpedia.org/resource/Kappa_Eta_Kappa	http://dbpedia.org/resource/Professional_fraternities_and_sororities	http://dbpedia.org/resource/Thunderbolt	
http://dbpedia.org/resource/Kakatpur	http://dbpedia.org/resource/Odisha_Legislative_Assembly	shankha	
http://dbpedia.org/resource/Samahang_Ilokano	http://dbpedia.org/resource/Professional_fraternities_and_sororities	Snake on an Arrow	
http://dbpedia.org/resource/Sigma_Phi_Delta	http://dbpedia.org/resource/Professional_fraternities_and_sororities	Castle	
http://dbpedia.org/resource/Phi_Chi	http://dbpedia.org/resource/Professional_fraternities_and_sororities	Adult Tiger Beetle , Doodlebug	
http://dbpedia.org/resource/Phi_Delta_Epsilon	http://dbpedia.org/resource/Professional_fraternities_and_sororities	Caduceus	
http://dbpedia.org/resource/Delta_Fraternity_and_Sorority_International	http://dbpedia.org/resource/Service_fraternities_and_sororities	http://dbpedia.org/resource/Triangle	
http://dbpedia.org/resource/Alpha_Phi_Omega	http://dbpedia.org/resource/Service_fraternities_and_sororities	http://dbpedia.org/resource/Golden_eagle	
http://dbpedia.org/resource/Alpha_Phi_Omega	http://dbpedia.org/resource/Service_fraternities_and_sororities	http://dbpedia.org/resource/Oak	
http://dbpedia.org/resource/Gamma_Alpha_Omega	http://dbpedia.org/resource/Service_fraternities_and_sororities	White Bengal tiger with blue eyes	
http://dbpedia.org/resource/Gamma_Kappa_Phi	http://dbpedia.org/resource/Service_fraternities_and_sororities	15	
http://dbpedia.org/resource/Gamma_Kappa_Phi	http://dbpedia.org/resource/Service_fraternities_and_sororities	"""The High and the Mighty"""	
http://dbpedia.org/resource/Gamma_Sigma_Sigma	http://dbpedia.org/resource/Service_fraternities_and_sororities	Shepherd's Crook, Omicron	
http://dbpedia.org/resource/Samahang_Ilokano	http://dbpedia.org/resource/Service_fraternities_and_sororities	Snake on an Arrow	
http://dbpedia.org/resource/Omega_Phi_Alpha	http://dbpedia.org/resource/Service_fraternities_and_sororities	Chevron, Bee	
http://dbpedia.org/resource/UP_Halcyon	http://dbpedia.org/resource/Service_fraternities_and_sororities	http://dbpedia.org/resource/Kingfisher	
http://dbpedia.org/resource/UP_Halcyon	http://dbpedia.org/resource/Service_fraternities_and_sororities	http://dbpedia.org/resource/Halcyon_(genus)	
http://dbpedia.org/resource/Epsilon_Sigma_Alpha	http://dbpedia.org/resource/Service_fraternities_and_sororities	depends on Chapter and state	
http://dbpedia.org/resource/AV_Edo-Rhenania_zu_Tokio	http://dbpedia.org/resource/Studentenverbindung	100	
http://dbpedia.org/resource/2N7000	http://dbpedia.org/resource/Transistor	80	
http://dbpedia.org/resource/Upsilon_Phi_Sigma	Inter-University and Collegiate Fraternity and Sorority	Shield	
http://dbpedia.org/resource/Omega_Delta_Sigma	Leadership and Service	American Flag	
http://dbpedia.org/resource/Bathala	philippine	http://dbpedia.org/resource/Tigmamanukan	
http://dbpedia.org/resource/Terra_(mythology)	Roman	Fruit, flowers, cornucopia, cattle	
http://dbpedia.org/resource/Mu_Epsilon_Delta	Leadership, Service	http://dbpedia.org/resource/Caduceus	
http://dbpedia.org/resource/Kedah_Sultanate	other3	Coat of arms of Kedah	
http://dbpedia.org/resource/Flag_of_the_President_of_Belarus	Personal	Reverse side is mirror image of obverse side	
http://dbpedia.org/resource/Zeus	Greek	http://dbpedia.org/resource/Thunderbolt	
http://dbpedia.org/resource/Zeus	Greek	http://dbpedia.org/resource/Oak	
http://dbpedia.org/resource/Zeus	Greek	http://dbpedia.org/resource/Sacred_bull	
http://dbpedia.org/resource/Zeus	Greek	http://dbpedia.org/resource/Eagle	
http://dbpedia.org/resource/Khnum	Egyptian	the potter's wheel	
http://dbpedia.org/resource/Nike_(mythology)	Greek	golden sandals, wings, wreaths	
http://dbpedia.org/resource/Ops	Roman	Lions, tambourine, crown, grains, cornucopia	
http://dbpedia.org/resource/Orpheus	Greek	http://dbpedia.org/resource/Lyre	
http://dbpedia.org/resource/Pan_(god)	Greek	http://dbpedia.org/resource/Goat	
http://dbpedia.org/resource/Pan_(god)	Greek	http://dbpedia.org/resource/Pan_flute	
http://dbpedia.org/resource/Ọba_(orisha)	Yoruba	lightning, the sword or machete, the flywhisk, water buffalo	
http://dbpedia.org/resource/Ọya	Yoruba	lightning, the sword or machete, the flywhisk, water buffalo	
http://dbpedia.org/resource/Selene	Greek	crescent, chariot, torch, billowing cloak, bull	
http://dbpedia.org/resource/Set_(deity)	Egyptian	http://dbpedia.org/resource/Was-sceptre	
http://dbpedia.org/resource/Set_(deity)	Egyptian	http://dbpedia.org/resource/Set_animal	
http://dbpedia.org/resource/Shu_(Egyptian_god)	Egyptian	the ostrich feather	
http://dbpedia.org/resource/Silenus	Greek	Wine, grapes, kantharos, thyrsos, wineskin, panther, donkey	
http://dbpedia.org/resource/Taweret	Egyptian	the sa, ivory dagger, Hippopotamus	
http://dbpedia.org/resource/Ibeji	Yoruba	Twins	
